order_id,account_id,account_name,vertical,product_id,product_name,quantity,order_date,use_case
O00001,A0072,RetailCo12,retail,P0002,Meraki MX250,7,2024-07-27,POS security
O00002,A0051,ManufacturingCo11,manufacturing,P0008,Meraki MV22,36,2023-10-22,Factory floor monitoring
O00003,A0070,RetailCo10,retail,P0005,Meraki MS120,14,2024-02-28,Inventory system network
O00004,A0012,HealthcareCo12,healthcare,P0010,Meraki MT10,15,2024-01-06,Remote telehealth setup
O00005,A0023,EducationCo3,education,P0010,Meraki MT10,37,2024-12-25,Student device management
O00006,A0089,GovernmentCo9,government,P0004,Meraki MR36,12,2023-11-08,Secure inter-agency link
O00007,A0043,ManufacturingCo3,manufacturing,P0006,Meraki MS225,47,2025-01-04,Safety camera installation
O00008,A0090,GovernmentCo10,government,P0002,Meraki MX250,35,2024-08-08,Public Wi-Fi rollout
O00009,A0032,EducationCo12,education,P0002,Meraki MX250,33,2024-01-04,Online testing infrastructure
O00010,A0026,EducationCo6,education,P0001,Meraki MX64,6,2024-06-16,Online testing infrastructure
O00011,A0063,RetailCo3,retail,P0008,Meraki MV22,24,2024-12-22,POS security
O00012,A0045,ManufacturingCo5,manufacturing,P0001,Meraki MX64,11,2023-09-01,Factory floor monitoring
O00013,A0036,EducationCo16,education,P0003,Meraki MR33,8,2025-02-19,Student device management
O00014,A0044,ManufacturingCo4,manufacturing,P0002,Meraki MX250,20,2025-04-21,Safety camera installation
O00015,A0068,RetailCo8,retail,P0005,Meraki MS120,10,2024-03-19,Inventory system network
O00016,A0045,ManufacturingCo5,manufacturing,P0009,Meraki MV72,10,2024-03-09,Supply chain tracking
O00017,A0067,RetailCo7,retail,P0006,Meraki MS225,23,2024-12-16,In-store digital signage
O00018,A0055,ManufacturingCo15,manufacturing,P0006,Meraki MS225,27,2024-09-06,Safety camera installation
O00019,A0006,HealthcareCo6,healthcare,P0009,Meraki MV72,26,2023-10-01,Remote telehealth setup
O00020,A0076,RetailCo16,retail,P0004,Meraki MR36,6,2024-11-22,Customer analytics Wi-Fi
O00021,A0068,RetailCo8,retail,P0010,Meraki MT10,26,2025-01-18,In-store digital signage
O00022,A0034,EducationCo14,education,P0002,Meraki MX250,24,2024-07-25,Campus wireless expansion
O00023,A0049,ManufacturingCo9,manufacturing,P0003,Meraki MR33,43,2023-07-04,Safety camera installation
O00024,A0027,EducationCo7,education,P0005,Meraki MS120,32,2025-04-16,Campus wireless expansion
O00025,A0018,HealthcareCo18,healthcare,P0001,Meraki MX64,4,2023-09-27,Medical imaging storage
O00026,A0067,RetailCo7,retail,P0006,Meraki MS225,22,2025-03-02,POS security
O00027,A0082,GovernmentCo2,government,P0002,Meraki MX250,31,2024-10-07,Public Wi-Fi rollout
O00028,A0060,ManufacturingCo20,manufacturing,P0002,Meraki MX250,26,2024-11-19,IoT sensor connectivity
O00029,A0034,EducationCo14,education,P0008,Meraki MV22,25,2023-05-07,Student device management
O00030,A0087,GovernmentCo7,government,P0008,Meraki MV22,6,2024-02-16,Public Wi-Fi rollout
O00031,A0014,HealthcareCo14,healthcare,P0001,Meraki MX64,19,2024-03-18,Remote telehealth setup
O00032,A0038,EducationCo18,education,P0002,Meraki MX250,21,2023-12-25,Student device management
O00033,A0028,EducationCo8,education,P0009,Meraki MV72,14,2024-04-30,Lecture hall streaming
O00034,A0073,RetailCo13,retail,P0001,Meraki MX64,37,2024-04-06,POS security
O00035,A0076,RetailCo16,retail,P0006,Meraki MS225,31,2023-09-11,POS security
O00036,A0092,GovernmentCo12,government,P0008,Meraki MV22,34,2024-08-09,Secure inter-agency link
O00037,A0028,EducationCo8,education,P0010,Meraki MT10,3,2025-03-20,Lecture hall streaming
O00038,A0061,RetailCo1,retail,P0005,Meraki MS120,4,2024-07-08,POS security
O00039,A0085,GovernmentCo5,government,P0009,Meraki MV72,25,2023-09-17,Secure inter-agency link
O00040,A0019,HealthcareCo19,healthcare,P0010,Meraki MT10,25,2023-12-03,Medical imaging storage
O00041,A0003,HealthcareCo3,healthcare,P0006,Meraki MS225,45,2024-06-29,Patient data security
O00042,A0020,HealthcareCo20,healthcare,P0010,Meraki MT10,19,2023-06-01,Patient data security
O00043,A0078,RetailCo18,retail,P0007,Meraki MV12,47,2025-02-04,Inventory system network
O00044,A0079,RetailCo19,retail,P0003,Meraki MR33,41,2023-08-15,In-store digital signage
O00045,A0038,EducationCo18,education,P0009,Meraki MV72,34,2023-08-26,Campus wireless expansion
O00046,A0070,RetailCo10,retail,P0009,Meraki MV72,9,2023-05-28,In-store digital signage
O00047,A0045,ManufacturingCo5,manufacturing,P0007,Meraki MV12,26,2024-10-06,Safety camera installation
O00048,A0035,EducationCo15,education,P0006,Meraki MS225,31,2023-11-23,Online testing infrastructure
O00049,A0051,ManufacturingCo11,manufacturing,P0004,Meraki MR36,38,2024-12-28,IoT sensor connectivity
O00050,A0009,HealthcareCo9,healthcare,P0001,Meraki MX64,9,2024-04-01,HIPAA compliance monitoring
O00051,A0033,EducationCo13,education,P0002,Meraki MX250,27,2023-07-02,Student device management
O00052,A0046,ManufacturingCo6,manufacturing,P0002,Meraki MX250,47,2025-04-25,IoT sensor connectivity
O00053,A0073,RetailCo13,retail,P0010,Meraki MT10,7,2025-02-16,POS security
O00054,A0039,EducationCo19,education,P0004,Meraki MR36,10,2024-05-12,Campus wireless expansion
O00055,A0088,GovernmentCo8,government,P0006,Meraki MS225,50,2024-09-10,Emergency response network
O00056,A0030,EducationCo10,education,P0010,Meraki MT10,15,2023-08-18,Online testing infrastructure
O00057,A0023,EducationCo3,education,P0004,Meraki MR36,35,2024-02-10,Campus wireless expansion
O00058,A0083,GovernmentCo3,government,P0005,Meraki MS120,9,2024-11-17,Emergency response network
O00059,A0058,ManufacturingCo18,manufacturing,P0008,Meraki MV22,35,2023-09-29,Safety camera installation
O00060,A0092,GovernmentCo12,government,P0009,Meraki MV72,37,2024-06-15,Emergency response network
O00061,A0043,ManufacturingCo3,manufacturing,P0007,Meraki MV12,1,2024-11-02,Supply chain tracking
O00062,A0039,EducationCo19,education,P0006,Meraki MS225,2,2024-09-05,Lecture hall streaming
O00063,A0047,ManufacturingCo7,manufacturing,P0002,Meraki MX250,8,2024-10-10,Supply chain tracking
O00064,A0016,HealthcareCo16,healthcare,P0010,Meraki MT10,24,2023-09-14,HIPAA compliance monitoring
O00065,A0082,GovernmentCo2,government,P0006,Meraki MS225,42,2023-11-27,Emergency response network
O00066,A0045,ManufacturingCo5,manufacturing,P0004,Meraki MR36,33,2025-01-04,Factory floor monitoring
O00067,A0015,HealthcareCo15,healthcare,P0008,Meraki MV22,44,2024-08-25,Patient data security
O00068,A0023,EducationCo3,education,P0008,Meraki MV22,48,2024-05-20,Online testing infrastructure
O00069,A0083,GovernmentCo3,government,P0008,Meraki MV22,46,2025-04-08,City surveillance camera
O00070,A0022,EducationCo2,education,P0006,Meraki MS225,3,2024-11-12,Student device management
O00071,A0049,ManufacturingCo9,manufacturing,P0003,Meraki MR33,42,2024-04-01,Factory floor monitoring
O00072,A0073,RetailCo13,retail,P0010,Meraki MT10,47,2024-08-16,Inventory system network
O00073,A0025,EducationCo5,education,P0008,Meraki MV22,33,2023-08-10,Lecture hall streaming
O00074,A0069,RetailCo9,retail,P0007,Meraki MV12,11,2025-04-15,Inventory system network
O00075,A0014,HealthcareCo14,healthcare,P0006,Meraki MS225,23,2025-02-19,Medical imaging storage
O00076,A0045,ManufacturingCo5,manufacturing,P0010,Meraki MT10,44,2023-07-20,Factory floor monitoring
O00077,A0068,RetailCo8,retail,P0007,Meraki MV12,2,2024-11-22,Customer analytics Wi-Fi
O00078,A0051,ManufacturingCo11,manufacturing,P0006,Meraki MS225,8,2024-02-24,IoT sensor connectivity
O00079,A0068,RetailCo8,retail,P0010,Meraki MT10,6,2024-11-27,Customer analytics Wi-Fi
O00080,A0070,RetailCo10,retail,P0006,Meraki MS225,33,2024-07-29,In-store digital signage
O00081,A0045,ManufacturingCo5,manufacturing,P0004,Meraki MR36,39,2023-07-26,IoT sensor connectivity
O00082,A0022,EducationCo2,education,P0009,Meraki MV72,28,2024-12-30,Campus wireless expansion
O00083,A0015,HealthcareCo15,healthcare,P0008,Meraki MV22,22,2023-05-08,Medical imaging storage
O00084,A0030,EducationCo10,education,P0001,Meraki MX64,2,2023-11-13,Lecture hall streaming
O00085,A0048,ManufacturingCo8,manufacturing,P0001,Meraki MX64,18,2023-10-15,Factory floor monitoring
O00086,A0030,EducationCo10,education,P0002,Meraki MX250,8,2023-05-19,Lecture hall streaming
O00087,A0010,HealthcareCo10,healthcare,P0008,Meraki MV22,29,2024-11-29,Remote telehealth setup
O00088,A0060,ManufacturingCo20,manufacturing,P0010,Meraki MT10,26,2023-11-15,Factory floor monitoring
O00089,A0012,HealthcareCo12,healthcare,P0006,Meraki MS225,5,2024-10-15,Remote telehealth setup
O00090,A0025,EducationCo5,education,P0005,Meraki MS120,1,2024-04-28,Student device management
O00091,A0030,EducationCo10,education,P0010,Meraki MT10,5,2023-11-21,Online testing infrastructure
O00092,A0009,HealthcareCo9,healthcare,P0002,Meraki MX250,4,2024-07-30,Patient data security
O00093,A0054,ManufacturingCo14,manufacturing,P0008,Meraki MV22,43,2024-01-10,Safety camera installation
O00094,A0020,HealthcareCo20,healthcare,P0008,Meraki MV22,24,2023-12-27,HIPAA compliance monitoring
O00095,A0029,EducationCo9,education,P0005,Meraki MS120,44,2024-02-12,Campus wireless expansion
O00096,A0058,ManufacturingCo18,manufacturing,P0003,Meraki MR33,15,2023-08-11,Safety camera installation
O00097,A0019,HealthcareCo19,healthcare,P0009,Meraki MV72,3,2024-11-08,Medical imaging storage
O00098,A0077,RetailCo17,retail,P0007,Meraki MV12,2,2024-07-13,Inventory system network
O00099,A0063,RetailCo3,retail,P0010,Meraki MT10,8,2024-07-03,POS security
O00100,A0063,RetailCo3,retail,P0001,Meraki MX64,3,2024-01-12,Inventory system network
O00101,A0077,RetailCo17,retail,P0001,Meraki MX64,2,2024-12-06,Inventory system network
O00102,A0100,GovernmentCo20,government,P0003,Meraki MR33,35,2023-12-27,City surveillance camera
O00103,A0070,RetailCo10,retail,P0008,Meraki MV22,2,2025-02-08,In-store digital signage
O00104,A0075,RetailCo15,retail,P0006,Meraki MS225,27,2024-11-21,Inventory system network
O00105,A0067,RetailCo7,retail,P0004,Meraki MR36,23,2024-09-22,Inventory system network
O00106,A0019,HealthcareCo19,healthcare,P0008,Meraki MV22,11,2025-03-06,Remote telehealth setup
O00107,A0100,GovernmentCo20,government,P0005,Meraki MS120,24,2023-08-14,Emergency response network
O00108,A0039,EducationCo19,education,P0010,Meraki MT10,32,2024-02-18,Student device management
O00109,A0078,RetailCo18,retail,P0009,Meraki MV72,50,2024-10-23,Inventory system network
O00110,A0008,HealthcareCo8,healthcare,P0006,Meraki MS225,33,2023-06-22,HIPAA compliance monitoring
O00111,A0012,HealthcareCo12,healthcare,P0005,Meraki MS120,5,2024-01-27,HIPAA compliance monitoring
O00112,A0061,RetailCo1,retail,P0001,Meraki MX64,47,2024-01-20,Customer analytics Wi-Fi
O00113,A0005,HealthcareCo5,healthcare,P0001,Meraki MX64,28,2023-06-16,Remote telehealth setup
O00114,A0073,RetailCo13,retail,P0005,Meraki MS120,2,2023-12-16,In-store digital signage
O00115,A0061,RetailCo1,retail,P0003,Meraki MR33,21,2024-02-27,Inventory system network
O00116,A0037,EducationCo17,education,P0008,Meraki MV22,34,2025-04-12,Student device management
O00117,A0005,HealthcareCo5,healthcare,P0006,Meraki MS225,13,2024-09-10,Medical imaging storage
O00118,A0078,RetailCo18,retail,P0007,Meraki MV12,33,2024-02-01,POS security
O00119,A0038,EducationCo18,education,P0005,Meraki MS120,43,2025-04-16,Campus wireless expansion
O00120,A0064,RetailCo4,retail,P0002,Meraki MX250,37,2024-09-29,POS security
O00121,A0068,RetailCo8,retail,P0010,Meraki MT10,3,2024-10-14,Inventory system network
O00122,A0056,ManufacturingCo16,manufacturing,P0010,Meraki MT10,8,2024-12-31,Factory floor monitoring
O00123,A0048,ManufacturingCo8,manufacturing,P0001,Meraki MX64,49,2024-08-29,Safety camera installation
O00124,A0085,GovernmentCo5,government,P0001,Meraki MX64,45,2024-06-27,Secure inter-agency link
O00125,A0006,HealthcareCo6,healthcare,P0010,Meraki MT10,37,2024-04-21,HIPAA compliance monitoring
O00126,A0068,RetailCo8,retail,P0008,Meraki MV22,11,2025-02-13,POS security
O00127,A0041,ManufacturingCo1,manufacturing,P0004,Meraki MR36,14,2025-02-10,Safety camera installation
O00128,A0043,ManufacturingCo3,manufacturing,P0004,Meraki MR36,28,2024-02-10,Safety camera installation
O00129,A0056,ManufacturingCo16,manufacturing,P0009,Meraki MV72,20,2023-08-26,Supply chain tracking
O00130,A0049,ManufacturingCo9,manufacturing,P0007,Meraki MV12,49,2023-09-11,IoT sensor connectivity
O00131,A0084,GovernmentCo4,government,P0006,Meraki MS225,30,2023-09-27,Emergency response network
O00132,A0094,GovernmentCo14,government,P0005,Meraki MS120,17,2023-07-20,Secure inter-agency link
O00133,A0007,HealthcareCo7,healthcare,P0009,Meraki MV72,2,2025-01-26,Medical imaging storage
O00134,A0023,EducationCo3,education,P0007,Meraki MV12,16,2024-12-12,Online testing infrastructure
O00135,A0052,ManufacturingCo12,manufacturing,P0008,Meraki MV22,41,2025-03-20,Supply chain tracking
O00136,A0034,EducationCo14,education,P0003,Meraki MR33,39,2023-07-28,Student device management
O00137,A0035,EducationCo15,education,P0009,Meraki MV72,22,2024-06-08,Student device management
O00138,A0009,HealthcareCo9,healthcare,P0001,Meraki MX64,13,2024-06-23,Medical imaging storage
O00139,A0001,HealthcareCo1,healthcare,P0001,Meraki MX64,2,2024-11-19,HIPAA compliance monitoring
O00140,A0087,GovernmentCo7,government,P0007,Meraki MV12,33,2025-02-13,Public Wi-Fi rollout
O00141,A0076,RetailCo16,retail,P0001,Meraki MX64,2,2024-01-02,Inventory system network
O00142,A0030,EducationCo10,education,P0007,Meraki MV12,21,2023-07-06,Online testing infrastructure
O00143,A0078,RetailCo18,retail,P0008,Meraki MV22,21,2024-08-17,POS security
O00144,A0082,GovernmentCo2,government,P0007,Meraki MV12,18,2024-06-27,Emergency response network
O00145,A0025,EducationCo5,education,P0007,Meraki MV12,27,2024-12-11,Campus wireless expansion
O00146,A0056,ManufacturingCo16,manufacturing,P0010,Meraki MT10,44,2024-10-11,Factory floor monitoring
O00147,A0010,HealthcareCo10,healthcare,P0008,Meraki MV22,48,2023-12-27,Patient data security
O00148,A0018,HealthcareCo18,healthcare,P0002,Meraki MX250,49,2024-12-05,Medical imaging storage
O00149,A0051,ManufacturingCo11,manufacturing,P0008,Meraki MV22,34,2024-08-29,Supply chain tracking
O00150,A0015,HealthcareCo15,healthcare,P0005,Meraki MS120,6,2024-08-30,Medical imaging storage
O00151,A0063,RetailCo3,retail,P0002,Meraki MX250,44,2024-10-22,Customer analytics Wi-Fi
O00152,A0001,HealthcareCo1,healthcare,P0003,Meraki MR33,15,2023-07-14,Patient data security
O00153,A0054,ManufacturingCo14,manufacturing,P0004,Meraki MR36,37,2025-03-07,Safety camera installation
O00154,A0029,EducationCo9,education,P0001,Meraki MX64,11,2023-08-28,Student device management
O00155,A0037,EducationCo17,education,P0008,Meraki MV22,3,2024-05-18,Online testing infrastructure
O00156,A0067,RetailCo7,retail,P0007,Meraki MV12,37,2024-12-16,Customer analytics Wi-Fi
O00157,A0043,ManufacturingCo3,manufacturing,P0010,Meraki MT10,17,2024-02-05,Factory floor monitoring
O00158,A0014,HealthcareCo14,healthcare,P0010,Meraki MT10,17,2024-10-13,Patient data security
O00159,A0097,GovernmentCo17,government,P0010,Meraki MT10,23,2023-08-06,Secure inter-agency link
O00160,A0044,ManufacturingCo4,manufacturing,P0002,Meraki MX250,49,2023-07-23,Supply chain tracking
O00161,A0052,ManufacturingCo12,manufacturing,P0005,Meraki MS120,21,2024-03-23,IoT sensor connectivity
O00162,A0062,RetailCo2,retail,P0004,Meraki MR36,39,2023-11-02,POS security
O00163,A0035,EducationCo15,education,P0005,Meraki MS120,7,2025-01-09,Campus wireless expansion
O00164,A0072,RetailCo12,retail,P0003,Meraki MR33,9,2023-10-03,In-store digital signage
O00165,A0001,HealthcareCo1,healthcare,P0001,Meraki MX64,15,2024-11-28,HIPAA compliance monitoring
O00166,A0071,RetailCo11,retail,P0005,Meraki MS120,11,2024-02-29,POS security
O00167,A0099,GovernmentCo19,government,P0004,Meraki MR36,24,2023-09-09,Emergency response network
O00168,A0069,RetailCo9,retail,P0003,Meraki MR33,47,2024-07-07,POS security
O00169,A0066,RetailCo6,retail,P0010,Meraki MT10,30,2025-02-03,In-store digital signage
O00170,A0031,EducationCo11,education,P0003,Meraki MR33,28,2024-07-14,Student device management
O00171,A0054,ManufacturingCo14,manufacturing,P0010,Meraki MT10,46,2024-04-04,Factory floor monitoring
O00172,A0084,GovernmentCo4,government,P0006,Meraki MS225,44,2024-06-26,Secure inter-agency link
O00173,A0063,RetailCo3,retail,P0009,Meraki MV72,20,2024-05-20,POS security
O00174,A0026,EducationCo6,education,P0006,Meraki MS225,13,2024-05-17,Lecture hall streaming
O00175,A0056,ManufacturingCo16,manufacturing,P0010,Meraki MT10,19,2023-06-14,Safety camera installation
O00176,A0008,HealthcareCo8,healthcare,P0009,Meraki MV72,20,2024-03-27,Medical imaging storage
O00177,A0074,RetailCo14,retail,P0009,Meraki MV72,10,2023-08-21,In-store digital signage
O00178,A0011,HealthcareCo11,healthcare,P0009,Meraki MV72,12,2023-07-08,Medical imaging storage
O00179,A0004,HealthcareCo4,healthcare,P0006,Meraki MS225,1,2024-09-15,HIPAA compliance monitoring
O00180,A0013,HealthcareCo13,healthcare,P0001,Meraki MX64,29,2023-06-20,Remote telehealth setup
O00181,A0065,RetailCo5,retail,P0009,Meraki MV72,14,2023-11-03,Inventory system network
O00182,A0100,GovernmentCo20,government,P0002,Meraki MX250,16,2023-08-24,Public Wi-Fi rollout
O00183,A0003,HealthcareCo3,healthcare,P0006,Meraki MS225,18,2025-02-18,HIPAA compliance monitoring
O00184,A0097,GovernmentCo17,government,P0010,Meraki MT10,26,2024-03-26,Public Wi-Fi rollout
O00185,A0041,ManufacturingCo1,manufacturing,P0010,Meraki MT10,38,2023-07-21,Factory floor monitoring
O00186,A0009,HealthcareCo9,healthcare,P0009,Meraki MV72,38,2025-01-20,Medical imaging storage
O00187,A0042,ManufacturingCo2,manufacturing,P0002,Meraki MX250,1,2025-02-26,Factory floor monitoring
O00188,A0056,ManufacturingCo16,manufacturing,P0002,Meraki MX250,22,2024-09-27,IoT sensor connectivity
O00189,A0011,HealthcareCo11,healthcare,P0009,Meraki MV72,38,2024-11-16,Medical imaging storage
O00190,A0003,HealthcareCo3,healthcare,P0008,Meraki MV22,9,2025-04-02,Remote telehealth setup
O00191,A0075,RetailCo15,retail,P0003,Meraki MR33,19,2025-02-21,Customer analytics Wi-Fi
O00192,A0034,EducationCo14,education,P0006,Meraki MS225,14,2023-06-07,Campus wireless expansion
O00193,A0079,RetailCo19,retail,P0001,Meraki MX64,45,2024-08-19,Customer analytics Wi-Fi
O00194,A0077,RetailCo17,retail,P0005,Meraki MS120,9,2025-01-22,Inventory system network
O00195,A0046,ManufacturingCo6,manufacturing,P0005,Meraki MS120,35,2024-02-28,Factory floor monitoring
O00196,A0089,GovernmentCo9,government,P0009,Meraki MV72,39,2023-11-04,Emergency response network
O00197,A0053,ManufacturingCo13,manufacturing,P0009,Meraki MV72,11,2023-06-25,Safety camera installation
O00198,A0057,ManufacturingCo17,manufacturing,P0005,Meraki MS120,44,2023-08-20,Safety camera installation
O00199,A0040,EducationCo20,education,P0010,Meraki MT10,42,2024-10-04,Campus wireless expansion
O00200,A0053,ManufacturingCo13,manufacturing,P0002,Meraki MX250,21,2025-02-06,Safety camera installation
O00201,A0046,ManufacturingCo6,manufacturing,P0009,Meraki MV72,10,2024-04-24,Safety camera installation
O00202,A0087,GovernmentCo7,government,P0003,Meraki MR33,6,2025-02-10,Secure inter-agency link
O00203,A0061,RetailCo1,retail,P0008,Meraki MV22,26,2024-07-08,Inventory system network
O00204,A0012,HealthcareCo12,healthcare,P0002,Meraki MX250,41,2025-03-23,HIPAA compliance monitoring
O00205,A0018,HealthcareCo18,healthcare,P0006,Meraki MS225,35,2024-10-29,Medical imaging storage
O00206,A0051,ManufacturingCo11,manufacturing,P0004,Meraki MR36,39,2024-02-19,Supply chain tracking
O00207,A0053,ManufacturingCo13,manufacturing,P0009,Meraki MV72,8,2023-12-06,IoT sensor connectivity
O00208,A0079,RetailCo19,retail,P0010,Meraki MT10,49,2023-10-25,POS security
O00209,A0019,HealthcareCo19,healthcare,P0010,Meraki MT10,50,2023-11-30,HIPAA compliance monitoring
O00210,A0022,EducationCo2,education,P0005,Meraki MS120,1,2024-10-05,Lecture hall streaming
O00211,A0055,ManufacturingCo15,manufacturing,P0006,Meraki MS225,26,2023-12-30,IoT sensor connectivity
O00212,A0098,GovernmentCo18,government,P0009,Meraki MV72,8,2024-04-10,Emergency response network
O00213,A0041,ManufacturingCo1,manufacturing,P0004,Meraki MR36,5,2024-12-28,Supply chain tracking
O00214,A0053,ManufacturingCo13,manufacturing,P0002,Meraki MX250,15,2023-07-29,Supply chain tracking
O00215,A0099,GovernmentCo19,government,P0006,Meraki MS225,13,2023-11-17,Public Wi-Fi rollout
O00216,A0056,ManufacturingCo16,manufacturing,P0007,Meraki MV12,17,2024-05-29,IoT sensor connectivity
O00217,A0078,RetailCo18,retail,P0003,Meraki MR33,45,2024-10-29,In-store digital signage
O00218,A0012,HealthcareCo12,healthcare,P0004,Meraki MR36,15,2024-03-28,HIPAA compliance monitoring
O00219,A0069,RetailCo9,retail,P0010,Meraki MT10,18,2025-02-07,In-store digital signage
O00220,A0088,GovernmentCo8,government,P0003,Meraki MR33,16,2024-01-19,Secure inter-agency link
O00221,A0067,RetailCo7,retail,P0006,Meraki MS225,36,2024-12-19,Inventory system network
O00222,A0061,RetailCo1,retail,P0009,Meraki MV72,18,2024-11-10,Inventory system network
O00223,A0056,ManufacturingCo16,manufacturing,P0003,Meraki MR33,29,2023-10-30,IoT sensor connectivity
O00224,A0030,EducationCo10,education,P0008,Meraki MV22,7,2024-09-26,Lecture hall streaming
O00225,A0018,HealthcareCo18,healthcare,P0004,Meraki MR36,30,2024-12-16,Medical imaging storage
O00226,A0028,EducationCo8,education,P0009,Meraki MV72,47,2025-04-19,Student device management
O00227,A0070,RetailCo10,retail,P0002,Meraki MX250,4,2025-01-26,POS security
O00228,A0087,GovernmentCo7,government,P0004,Meraki MR36,44,2024-04-16,Public Wi-Fi rollout
O00229,A0042,ManufacturingCo2,manufacturing,P0010,Meraki MT10,38,2024-11-15,Factory floor monitoring
